"DateTime","Débit","Maximum","Médiane","Minimum"
 01/01  00:00:00,8321,10900,8080,6240
 01/02  00:00:00,8567,10700,8010,6140
 01/03  00:00:00,8377,10900,7830,6330
 01/04  00:00:00,8336,11000,8060,6330
 01/05  00:00:00,8409,10800,7840,6380
 01/06  00:00:00,8312,10600,7710,6150
 01/07  00:00:00,8386,10800,7740,6030
 01/08  00:00:00,8335,11000,7540,6160
 01/09  00:00:00,7575,10700,7710,6300
 01/10  00:00:00,7018,10900,7730,6140
 01/11  00:00:00,7229,10800,7620,5960
 01/12  00:00:00,7463,10900,7730,5790
 01/13  00:00:00,7696,10800,7640,5710
 01/14  00:00:00,7883,10700,7630,5940
 01/15  00:00:00,7676,10800,7770,6510
 01/16  00:00:00,8001,11000,7720,6190
 01/17  00:00:00,8261,9290,7980,6050
 01/18  00:00:00,8006,9450,8000,6090
 01/19  00:00:00,8029,9570,8010,6270
 01/20  00:00:00,7746,9830,7880,6160
 01/21  00:00:00,7717,10000,7940,6370
 01/22  00:00:00,7783,9770,7980,6560
 01/23  00:00:00,8193,9370,7950,6420
 01/24  00:00:00,8387,9000,7960,6600
 01/25  00:00:00,8255,8980,7900,6600
 01/26  00:00:00,8451,9340,7830,6410
 01/27  00:00:00,8167,9260,7750,6630
 01/28  00:00:00,7526,9570,7870,6650
 01/29  00:00:00,7687,9430,7930,6240
 01/30  00:00:00,7760,9280,7750,6450
 01/31  00:00:00,7995,9300,7880,6500
 02/01  00:00:00,7887,9300,7850,5950
 02/02  00:00:00,7564,9320,7910,5950
 02/03  00:00:00,7727,9340,7990,6100
 02/04  00:00:00,7943,9340,7970,6070
 02/05  00:00:00,7903,9340,8040,6350
 02/06  00:00:00,8099,9300,8150,6580
 02/07  00:00:00,8274,9600,8180,6620
 02/08  00:00:00,8282,9830,8300,6400
 02/09  00:00:00,8068,9850,8210,6390
 02/10  00:00:00,7674,9740,8130,6300
 02/11  00:00:00,7641,9770,8270,6040
 02/12  00:00:00,7657,10000,8270,6250
 02/13  00:00:00,7814,10000,8250,6320
 02/14  00:00:00,7765,9850,8240,6660
 02/15  00:00:00,7711,10000,8240,6310
 02/16  00:00:00,7780,9770,8380,6610
 02/17  00:00:00,7872,9860,8380,6390
 02/18  00:00:00,7446,9810,8380,6110
 02/19  00:00:00,7355,9790,8400,6120
 02/20  00:00:00,7409,9990,8380,6370
 02/21  00:00:00,7369,10100,8400,6220
 02/22  00:00:00,7324,10900,8480,6180
 02/23  00:00:00,7664,11000,8570,6250
 02/24  00:00:00,7647,10900,8490,6280
 02/25  00:00:00,7622,11600,8500,6230
 02/26  00:00:00,7585,11700,8490,6340
 02/27  00:00:00,7654,10800,8500,6260
 02/28  00:00:00,7644,10500,8540,6130
 03/01  00:00:00,7672,10700,8510,6020
 03/02  00:00:00,7473,10900,8590,6070
 03/03  00:00:00,7705,11000,8510,6000
 03/04  00:00:00,7640,11000,8480,6100
 03/05  00:00:00,7491,11000,8470,6160
 03/06  00:00:00,7509,11100,8600,6220
 03/07  00:00:00,7648,11400,8690,6120
 03/08  00:00:00,7958,11700,8690,6060
 03/09  00:00:00,8229,11600,8760,6000
 03/10  00:00:00,7951,11600,8780,6030
 03/11  00:00:00,7798,12000,8830,6160
 03/12  00:00:00,7878,12000,8810,6010
 03/13  00:00:00,8064,11400,8800,6220
 03/14  00:00:00,8161,11600,8780,6180
 03/15  00:00:00,8091,11600,8940,6310
 03/16  00:00:00,8200,12000,9040,6280
 03/17  00:00:00,8877,12000,9000,6130
 03/18  00:00:00,9811,13200,8980,6120
 03/19  00:00:00,9986,13600,8910,6140
 03/20  00:00:00,9680,13100,8900,6280
 03/21  00:00:00,9806,12500,8880,6500
 03/22  00:00:00,9709,11900,8940,6710
 03/23  00:00:00,9806,11600,8930,6740
 03/24  00:00:00,9811,11600,8900,6760
 03/25  00:00:00,9840,11400,8870,6740
 03/26  00:00:00,9493,12300,8940,6900
 03/27  00:00:00,9474,12400,9010,6990
 03/28  00:00:00,9445,13200,9130,6980
 03/29  00:00:00,9312,13300,9160,6900
 03/30  00:00:00,9339,13200,9260,6840
 03/31  00:00:00,9421,13500,9290,6940
 04/01  00:00:00,9763,14000,9250,6800
 04/02  00:00:00,9836,14500,9330,6630
 04/03  00:00:00,9767,14200,9490,6420
 04/04  00:00:00,10122,13800,9590,6350
 04/05  00:00:00,9998,13800,9820,6560
 04/06  00:00:00,10211,13500,9940,6830
 04/07  00:00:00,10026,13200,9910,6390
 04/08  00:00:00,10068,13000,9890,6410
 04/09  00:00:00,9959,12800,9710,6370
 04/10  00:00:00,9691,12500,9890,6450
 04/11  00:00:00,9515,12400,9880,6720
 04/12  00:00:00,9437,12300,10100,7110
 04/13  00:00:00,9396,12300,10100,7050
 04/14  00:00:00,9530,12800,10200,6980
 04/15  00:00:00,9434,12800,10200,7050
 04/16  00:00:00,9250,12500,10200,6910
 04/17  00:00:00,9300,12100,10400,7120
 04/18  00:00:00,9305,12300,10600,7160
 04/19  00:00:00,9373,12100,10500,7440
 04/20  00:00:00,9541,12900,10300,7380
 04/21  00:00:00,9429,13200,10300,7330
 04/22  00:00:00,9472,13300,10300,7470
 04/23  00:00:00,9493,13300,10300,7400
 04/24  00:00:00,9646,12500,10200,7210
 04/25  00:00:00,9638,12400,10400,6890
 04/26  00:00:00,9649,12400,10700,6870
 04/27  00:00:00,9964,12600,10700,7110
 04/28  00:00:00,10075,12400,10400,7280
 04/29  00:00:00,10288,12300,10600,7220
 04/30  00:00:00,10273,12400,10700,7050
 05/01  00:00:00,10381,12500,10700,6840
 05/02  00:00:00,10429,12600,10700,6750
 05/03  00:00:00,10449,12400,10700,6890
 05/04  00:00:00,10500,12500,10500,6840
 05/05  00:00:00,10484,12300,10600,6710
 05/06  00:00:00,10459,12800,10500,6830
 05/07  00:00:00,10491,12900,10400,6890
 05/08  00:00:00,10369,12700,10300,6830
 05/09  00:00:00,10592,12600,10200,6860
 05/10  00:00:00,10577,12700,10200,6580
 05/11  00:00:00,10694,12700,10300,6640
 05/12  00:00:00,10666,12500,10100,6640
 05/13  00:00:00,10467,12900,9980,6700
 05/14  00:00:00,10329,13100,9900,6690
 05/15  00:00:00,10300,13100,9980,6570
 05/16  00:00:00,0,13200,9970,6600
 05/17  00:00:00,0,13100,9940,6520
 05/18  00:00:00,0,13400,9720,6490
 05/19  00:00:00,0,13400,9810,6470
 05/20  00:00:00,0,13500,9880,6460
 05/21  00:00:00,0,13500,9770,6450
 05/22  00:00:00,0,13500,9730,6480
 05/23  00:00:00,0,13600,9700,6480
 05/24  00:00:00,0,13600,9680,6550
 05/25  00:00:00,0,13400,9520,6500
 05/26  00:00:00,0,13100,9570,6580
 05/27  00:00:00,0,12900,9580,6520
 05/28  00:00:00,0,13000,9510,6570
 05/29  00:00:00,0,12900,9510,6590
 05/30  00:00:00,0,12700,9350,6620
 05/31  00:00:00,0,12500,9370,6500
 06/01  00:00:00,0,12600,9680,6530
 06/02  00:00:00,0,12400,9520,6570
 06/03  00:00:00,0,12400,9570,6570
 06/04  00:00:00,0,12300,9500,6640
 06/05  00:00:00,0,12300,9470,6620
 06/06  00:00:00,0,12100,9290,6660
 06/07  00:00:00,0,12100,9400,6700
 06/08  00:00:00,0,12300,9290,6590
 06/09  00:00:00,0,12300,9320,6500
 06/10  00:00:00,0,12100,9220,6480
 06/11  00:00:00,0,12100,9270,6510
 06/12  00:00:00,0,11800,9260,6500
 06/13  00:00:00,0,11700,9280,6480
 06/14  00:00:00,0,11600,9190,6470
 06/15  00:00:00,0,11700,9130,6510
 06/16  00:00:00,0,11600,9080,6490
 06/17  00:00:00,0,12000,9100,6590
 06/18  00:00:00,0,12000,9200,6530
 06/19  00:00:00,0,11800,9230,6490
 06/20  00:00:00,0,11800,9110,6360
 06/21  00:00:00,0,11500,9240,6250
 06/22  00:00:00,0,11600,9120,6400
 06/23  00:00:00,0,11600,9030,6520
 06/24  00:00:00,0,11600,9010,6600
 06/25  00:00:00,0,11500,9020,6520
 06/26  00:00:00,0,11800,9040,6560
 06/27  00:00:00,0,11700,9130,6570
 06/28  00:00:00,0,11600,9170,6490
 06/29  00:00:00,0,11500,9040,6690
 06/30  00:00:00,0,11300,9050,6800
 07/01  00:00:00,0,11500,9090,6780
 07/02  00:00:00,0,11400,9110,6820
 07/03  00:00:00,0,11400,9090,6650
 07/04  00:00:00,0,11400,9110,6670
 07/05  00:00:00,0,11500,9150,6790
 07/06  00:00:00,0,11400,9060,6670
 07/07  00:00:00,0,11500,8990,6470
 07/08  00:00:00,0,11300,8960,6520
 07/09  00:00:00,0,11100,8930,6660
 07/10  00:00:00,0,11100,8800,6640
 07/11  00:00:00,0,11100,8830,6610
 07/12  00:00:00,0,11100,8860,6700
 07/13  00:00:00,0,11000,8780,6770
 07/14  00:00:00,0,10900,8820,6550
 07/15  00:00:00,0,10800,8790,6610
 07/16  00:00:00,0,10800,8790,6630
 07/17  00:00:00,0,10800,8780,6610
 07/18  00:00:00,0,10700,8710,6600
 07/19  00:00:00,0,10800,8690,6520
 07/20  00:00:00,0,10800,8740,6510
 07/21  00:00:00,0,10800,8620,6550
 07/22  00:00:00,0,10600,8640,6470
 07/23  00:00:00,0,10500,8600,6370
 07/24  00:00:00,0,10700,8600,6560
 07/25  00:00:00,0,11100,8590,6580
 07/26  00:00:00,0,11200,8690,6560
 07/27  00:00:00,0,11200,8550,6430
 07/28  00:00:00,0,11000,8640,6400
 07/29  00:00:00,0,10700,8660,6460
 07/30  00:00:00,0,10600,8610,6580
 07/31  00:00:00,0,10500,8550,6570
 08/01  00:00:00,0,10400,8550,6550
 08/02  00:00:00,0,10500,8480,6550
 08/03  00:00:00,0,10600,8590,6550
 08/04  00:00:00,0,10500,8530,6490
 08/05  00:00:00,0,10600,8540,6450
 08/06  00:00:00,0,10500,8510,6490
 08/07  00:00:00,0,10400,8530,6520
 08/08  00:00:00,0,10500,8520,6480
 08/09  00:00:00,0,10900,8610,6550
 08/10  00:00:00,0,10800,8610,6510
 08/11  00:00:00,0,10500,8520,6530
 08/12  00:00:00,0,10400,8500,6500
 08/13  00:00:00,0,10300,8540,6450
 08/14  00:00:00,0,10200,8520,6450
 08/15  00:00:00,0,10100,8500,6350
 08/16  00:00:00,0,10200,8500,6490
 08/17  00:00:00,0,10100,8500,6580
 08/18  00:00:00,0,10000,8390,6540
 08/19  00:00:00,0,10100,8400,6450
 08/20  00:00:00,0,10100,8340,6510
 08/21  00:00:00,0,10100,8340,6580
 08/22  00:00:00,0,10000,8380,6570
 08/23  00:00:00,0,9860,8310,6600
 08/24  00:00:00,0,10200,8300,6520
 08/25  00:00:00,0,10100,8400,6470
 08/26  00:00:00,0,9950,8350,6540
 08/27  00:00:00,0,10100,8380,6410
 08/28  00:00:00,0,10200,8280,6400
 08/29  00:00:00,0,10300,8380,6450
 08/30  00:00:00,0,10200,8320,6380
 08/31  00:00:00,0,10300,8360,6570
 09/01  00:00:00,8471,10100,8380,6510
 09/02  00:00:00,8510,10200,8240,6450
 09/03  00:00:00,8513,10100,8310,6490
 09/04  00:00:00,8202,10100,8310,6440
 09/05  00:00:00,8254,10000,8290,6410
 09/06  00:00:00,8433,10100,8240,6480
 09/07  00:00:00,8269,9970,8240,6510
 09/08  00:00:00,8293,10100,8180,6470
 09/09  00:00:00,8297,10100,8210,6320
 09/10  00:00:00,8459,10000,8240,6300
 09/11  00:00:00,8505,10100,8170,6480
 09/12  00:00:00,8436,10500,8180,6240
 09/13  00:00:00,8417,10800,8300,6450
 09/14  00:00:00,8415,10700,8260,6390
 09/15  00:00:00,8410,10400,8330,6500
 09/16  00:00:00,8380,10200,8300,6420
 09/17  00:00:00,8351,10100,8210,6550
 09/18  00:00:00,8406,10100,8180,6560
 09/19  00:00:00,8326,10100,8160,6470
 09/20  00:00:00,8257,9910,8150,6610
 09/21  00:00:00,8228,9770,8160,6660
 09/22  00:00:00,8184,9830,8180,6580
 09/23  00:00:00,8134,9740,8310,6460
 09/24  00:00:00,8016,10300,8210,6550
 09/25  00:00:00,7946,10300,8240,6570
 09/26  00:00:00,8211,10400,8120,6570
 09/27  00:00:00,8122,10100,8210,6530
 09/28  00:00:00,8101,10100,8220,6500
 09/29  00:00:00,8097,10100,8210,6530
 09/30  00:00:00,8018,10600,8210,6460
 10/01  00:00:00,7915,11100,8230,6490
 10/02  00:00:00,8011,10900,8270,6300
 10/03  00:00:00,8147,10500,8260,6430
 10/04  00:00:00,8142,10400,8280,6550
 10/05  00:00:00,8054,10500,8240,6540
 10/06  00:00:00,7923,10600,8250,6510
 10/07  00:00:00,8056,10300,8320,6590
 10/08  00:00:00,8118,10400,8210,6570
 10/09  00:00:00,8027,10000,8210,6490
 10/10  00:00:00,8028,10000,8180,6570
 10/11  00:00:00,8094,9880,8140,6580
 10/12  00:00:00,8015,10100,8210,6620
 10/13  00:00:00,7766,10200,8200,6610
 10/14  00:00:00,7905,10400,8210,6560
 10/15  00:00:00,7951,10500,8280,6410
 10/16  00:00:00,7869,10400,8280,6480
 10/17  00:00:00,7825,10400,8250,6580
 10/18  00:00:00,7871,10300,8270,6540
 10/19  00:00:00,7898,10300,8230,6450
 10/20  00:00:00,7889,10200,8230,6630
 10/21  00:00:00,7716,10100,8250,6690
 10/22  00:00:00,7643,10100,8300,6550
 10/23  00:00:00,7783,10300,8250,6560
 10/24  00:00:00,7640,10200,8170,6620
 10/25  00:00:00,7623,10200,8270,6590
 10/26  00:00:00,7644,9950,8180,6590
 10/27  00:00:00,7636,10100,8300,6810
 10/28  00:00:00,7510,11100,8250,6610
 10/29  00:00:00,7527,11600,8220,6530
 10/30  00:00:00,7764,11400,8280,6700
 10/31  00:00:00,7652,11000,8330,6610
 11/01  00:00:00,7704,10700,8380,6610
 11/02  00:00:00,7380,10500,8320,6500
 11/03  00:00:00,7445,10400,8240,6600
 11/04  00:00:00,7484,10600,8280,6500
 11/05  00:00:00,7533,10500,8230,6570
 11/06  00:00:00,7662,10500,8390,6640
 11/07  00:00:00,7628,10500,8340,6540
 11/08  00:00:00,7700,10400,8320,6600
 11/09  00:00:00,7773,10800,8480,6510
 11/10  00:00:00,7881,11200,8380,6550
 11/11  00:00:00,7922,11400,8380,6670
 11/12  00:00:00,7981,10800,8550,6640
 11/13  00:00:00,7993,10700,8620,6590
 11/14  00:00:00,8042,10600,8670,6660
 11/15  00:00:00,8152,10500,8450,6670
 11/16  00:00:00,8202,10500,8800,6710
 11/17  00:00:00,8156,10500,8730,6660
 11/18  00:00:00,8094,10700,8610,6560
 11/19  00:00:00,7987,10800,8560,6530
 11/20  00:00:00,7823,10800,8630,6680
 11/21  00:00:00,7968,10600,8780,6530
 11/22  00:00:00,8004,10600,8580,6620
 11/23  00:00:00,7900,10400,8690,6710
 11/24  00:00:00,7703,10500,8810,6760
 11/25  00:00:00,7487,10600,8830,6580
 11/26  00:00:00,7513,10600,8750,6550
 11/27  00:00:00,7546,10900,8590,6730
 11/28  00:00:00,7399,10900,8750,6750
 11/29  00:00:00,7558,11000,8820,6640
 11/30  00:00:00,7574,10800,8890,6700
 12/01  00:00:00,7383,10600,9000,6760
 12/02  00:00:00,7406,11100,8980,6510
 12/03  00:00:00,7327,11300,8990,6610
 12/04  00:00:00,7299,11400,8860,6600
