Time,Demand
 01/01  01:00:00,1273.225979
 01/01  02:00:00,1166.961589
 01/01  03:00:00,1290.053827
 01/01  04:00:00,1245.630216
 01/01  05:00:00,1381.900897
 01/01  06:00:00,1393.599175
 01/01  07:00:00,1620.876195
 01/01  08:00:00,1672.745009
 01/01  09:00:00,1822.743904
 01/01  10:00:00,1699.129585
 01/01  11:00:00,1698.586277
 01/01  12:00:00,1666.544075
 01/01  13:00:00,1689.937673
 01/01  14:00:00,1618.779715
 01/01  15:00:00,1627.692196
 01/01  16:00:00,1606.816085
 01/01  17:00:00,1679.791088
 01/01  18:00:00,1704.927243
 01/01  19:00:00,1642.029877
 01/01  20:00:00,1560.410297
 01/01  21:00:00,1582.437473
 01/01  22:00:00,1479.135429
 01/01  23:00:00,1359.822854
 01/01  24:00:00,1226.545435
 01/02  01:00:00,1297.947568
 01/02  02:00:00,1162.980676
 01/02  03:00:00,1194.975917
 01/02  04:00:00,1144.82939
 01/02  05:00:00,1207.881406
 01/02  06:00:00,1612.797366
 01/02  07:00:00,2111.737099
 01/02  08:00:00,2657.366969
 01/02  09:00:00,3530.999697
 01/02  10:00:00,3362.870058
 01/02  11:00:00,3251.794762
 01/02  12:00:00,3265.172443
 01/02  13:00:00,3189.158872
 01/02  14:00:00,3142.013523
 01/02  15:00:00,3059.725952
 01/02  16:00:00,3075.550343
 01/02  17:00:00,2953.944565
 01/02  18:00:00,2711.854385
 01/02  19:00:00,2430.240684
 01/02  20:00:00,2359.420368
 01/02  21:00:00,2234.914579
 01/02  22:00:00,2021.764702
 01/02  23:00:00,1369.590057
 01/02  24:00:00,1127.509894
 01/03  01:00:00,1023.933623
 01/03  02:00:00,936.2074037
 01/03  03:00:00,954.8858719
 01/03  04:00:00,993.2798026
 01/03  05:00:00,1037.191536
 01/03  06:00:00,1370.229265
 01/03  07:00:00,1898.977389
 01/03  08:00:00,2387.182478
 01/03  09:00:00,2921.84041
 01/03  10:00:00,2803.059423
 01/03  11:00:00,2780.384653
 01/03  12:00:00,2858.280268
 01/03  13:00:00,2815.925121
 01/03  14:00:00,2819.476168
 01/03  15:00:00,2743.594985
 01/03  16:00:00,2761.666011
 01/03  17:00:00,2796.670608
 01/03  18:00:00,2414.524536
 01/03  19:00:00,2104.588038
 01/03  20:00:00,2100.672721
 01/03  21:00:00,2041.002896
 01/03  22:00:00,1860.688685
 01/03  23:00:00,1363.916137
 01/03  24:00:00,1121.811485
 01/04  01:00:00,1005.505197
 01/04  02:00:00,905.4796465
 01/04  03:00:00,912.7095556
 01/04  04:00:00,919.4127436
 01/04  05:00:00,941.037851
 01/04  06:00:00,1244.710441
 01/04  07:00:00,1720.159158
 01/04  08:00:00,2226.51793
 01/04  09:00:00,3035.642139
 01/04  10:00:00,2949.676667
 01/04  11:00:00,2908.717864
 01/04  12:00:00,2949.81818
 01/04  13:00:00,2949.436656
 01/04  14:00:00,3018.116306
 01/04  15:00:00,2956.200481
 01/04  16:00:00,2931.714741
 01/04  17:00:00,2806.689222
 01/04  18:00:00,2448.854225
 01/04  19:00:00,2105.572372
 01/04  20:00:00,2067.916012
 01/04  21:00:00,1988.486687
 01/04  22:00:00,1862.507323
 01/04  23:00:00,1426.357102
 01/04  24:00:00,1219.767884
 01/05  01:00:00,1118.432914
 01/05  02:00:00,1059.292549
 01/05  03:00:00,1098.509036
 01/05  04:00:00,1149.690438
 01/05  05:00:00,1233.013903
 01/05  06:00:00,1576.325659
 01/05  07:00:00,2100.582771
 01/05  08:00:00,2497.1651
 01/05  09:00:00,3224.119007
 01/05  10:00:00,3050.935257
 01/05  11:00:00,2999.349677
 01/05  12:00:00,3104.757971
 01/05  13:00:00,3065.36705
 01/05  14:00:00,3089.745659
 01/05  15:00:00,3000.791472
 01/05  16:00:00,2985.99808
 01/05  17:00:00,3025.268789
 01/05  18:00:00,2738.927373
 01/05  19:00:00,2364.161423
 01/05  20:00:00,2348.744056
 01/05  21:00:00,2268.503485
 01/05  22:00:00,2075.419486
 01/05  23:00:00,1490.786063
 01/05  24:00:00,1249.717516
 01/06  01:00:00,1135.420613
 01/06  02:00:00,1039.279268
 01/06  03:00:00,1036.362248
