Date/Time,PV,Wind
 01/01  01:00:00,0,0.862
 01/01  02:00:00,0,0.788
 01/01  03:00:00,0,0.484
 01/01  04:00:00,0,0.060
 01/01  05:00:00,0,0.026
 01/01  06:00:00,0,0.175
 01/01  07:00:00,0,0.571
 01/01  08:00:00,0.131,0.702
 01/01  09:00:00,0.391,0.833
 01/01  10:00:00,0.542,0.880
 01/01  11:00:00,0.622,0.862
 01/01  12:00:00,0.627,0.827
 01/01  13:00:00,0.566,0.762
 01/01  14:00:00,0.430,0.702
 01/01  15:00:00,0.187,0.672
 01/01  16:00:00,0,0.664
 01/01  17:00:00,0,0.635
 01/01  18:00:00,0,0.555
 01/01  19:00:00,0,0.432
 01/01  20:00:00,0,0.310
 01/01  21:00:00,0,0.204
 01/01  22:00:00,0,0.168
 01/01  23:00:00,0,0.157
 01/01  24:00:00,0,0.119
 01/02  01:00:00,0,0.109
 01/02  02:00:00,0,0.095
 01/02  03:00:00,0,0.083
 01/02  04:00:00,0,0.059
 01/02  05:00:00,0,0.037
 01/02  06:00:00,0,0.030
 01/02  07:00:00,0.004,0.026
 01/02  08:00:00,0.305,0.011
 01/02  09:00:00,0.551,0.003
 01/02  10:00:00,0.695,0
 01/02  11:00:00,0.756,0
 01/02  12:00:00,0.742,0
 01/02  13:00:00,0.653,0
 01/02  14:00:00,0.484,0
 01/02  15:00:00,0.215,0
 01/02  16:00:00,0,0.005
 01/02  17:00:00,0,0.084
 01/02  18:00:00,0,0.195
 01/02  19:00:00,0,0.279
 01/02  20:00:00,0,0.325
 01/02  21:00:00,0,0.337
 01/02  22:00:00,0,0.327
 01/02  23:00:00,0,0.296
 01/02  24:00:00,0,0.296
 01/03  01:00:00,0,0.284
 01/03  02:00:00,0,0.291
 01/03  03:00:00,0,0.278
 01/03  04:00:00,0,0.253
 01/03  05:00:00,0,0.211
 01/03  06:00:00,0,0.142
 01/03  07:00:00,0,0.086
 01/03  08:00:00,0.079,0.056
 01/03  09:00:00,0.248,0.029
 01/03  10:00:00,0.346,0.022
 01/03  11:00:00,0.420,0.053
 01/03  12:00:00,0.452,0.047
 01/03  13:00:00,0.372,0.064
 01/03  14:00:00,0.146,0.083
 01/03  15:00:00,0.022,0.105
 01/03  16:00:00,0,0.168
 01/03  17:00:00,0,0.217
 01/03  18:00:00,0,0.153
 01/03  19:00:00,0,0.096
 01/03  20:00:00,0,0.146
 01/03  21:00:00,0,0.337
 01/03  22:00:00,0,0.510
 01/03  23:00:00,0,0.642
 01/03  24:00:00,0,0.695
 01/04  01:00:00,0,0.633
 01/04  02:00:00,0,0.568
 01/04  03:00:00,0,0.573
 01/04  04:00:00,0,0.674
 01/04  05:00:00,0,0.706
 01/04  06:00:00,0,0.751
 01/04  07:00:00,0,0.813
 01/04  08:00:00,0.090,0.778
 01/04  09:00:00,0.140,0.694
 01/04  10:00:00,0.292,0.661
 01/04  11:00:00,0.297,0.678
 01/04  12:00:00,0.264,0.714
 01/04  13:00:00,0.199,0.714
 01/04  14:00:00,0.123,0.680
 01/04  15:00:00,0.043,0.614
 01/04  16:00:00,0,0.513
 01/04  17:00:00,0,0.551
 01/04  18:00:00,0,0.550
 01/04  19:00:00,0,0.507
 01/04  20:00:00,0,0.419
 01/04  21:00:00,0,0.320
 01/04  22:00:00,0,0.231
 01/04  23:00:00,0,0.138
 01/04  24:00:00,0,0.065
 01/05  01:00:00,0,0.037
 01/05  02:00:00,0,0.016
 01/05  03:00:00,0,0.001
 01/05  04:00:00,0,0
 01/05  05:00:00,0,0.002
 01/05  06:00:00,0,0.013
 01/05  07:00:00,0,0.033
 01/05  08:00:00,0.040,0.054
 01/05  09:00:00,0.104,0.076
