Date/Time,TER
 01/01  01:00:00,9.034
 01/01  02:00:00,19.68
 01/01  03:00:00,20.56
 01/01  04:00:00,18.68
 01/01  05:00:00,19.08
 01/01  06:00:00,14.41
 01/01  07:00:00,13.89
 01/01  08:00:00,13.16
 01/01  09:00:00,11.04
 01/01  10:00:00,10.68
 01/01  11:00:00,9.618
 01/01  12:00:00,7.859
 01/01  13:00:00,8.041
 01/01  14:00:00,8.104
 01/01  15:00:00,8.81
 01/01  16:00:00,9.288
 01/01  17:00:00,11.01
 01/01  18:00:00,10.98
 01/01  19:00:00,10.52
 01/01  20:00:00,9.898
 01/01  21:00:00,9.837
 01/01  22:00:00,10
 01/01  23:00:00,11.31
 01/01  24:00:00,12.54
 01/02  01:00:00,8.607
 01/02  02:00:00,17.87
 01/02  03:00:00,18.33
 01/02  04:00:00,18
 01/02  05:00:00,18.17
 01/02  06:00:00,12.66
 01/02  07:00:00,0
 01/02  08:00:00,0
 01/02  09:00:00,0
 01/02  10:00:00,5.883
 01/02  11:00:00,6.065
 01/02  12:00:00,5.505
 01/02  13:00:00,5.397
 01/02  14:00:00,5.491
 01/02  15:00:00,5.714
 01/02  16:00:00,6.029
 01/02  17:00:00,7.019
 01/02  18:00:00,7.02
 01/02  19:00:00,7.093
 01/02  20:00:00,6.935
 01/02  21:00:00,7.069
 01/02  22:00:00,7.519
 01/02  23:00:00,6.005
 01/02  24:00:00,7.157
 01/03  01:00:00,5.879
 01/03  02:00:00,10.8
 01/03  03:00:00,11.66
 01/03  04:00:00,12.31
 01/03  05:00:00,12.56
 01/03  06:00:00,8.768
 01/03  07:00:00,9.892
 01/03  08:00:00,7.452
 01/03  09:00:00,6.632
 01/03  10:00:00,5.12
 01/03  11:00:00,4.19
 01/03  12:00:00,3.433
 01/03  13:00:00,3.707
 01/03  14:00:00,3.09
 01/03  15:00:00,2.962
 01/03  16:00:00,2.919
 01/03  17:00:00,3.509
 01/03  18:00:00,5
 01/03  19:00:00,6.954
 01/03  20:00:00,7.023
 01/03  21:00:00,7.155
 01/03  22:00:00,7.32
 01/03  23:00:00,5.936
 01/03  24:00:00,7.06
 01/04  01:00:00,5.528
 01/04  02:00:00,9.514
 01/04  03:00:00,10.02
 01/04  04:00:00,9.98
 01/04  05:00:00,10.38
 01/04  06:00:00,7.79
 01/04  07:00:00,9.504
 01/04  08:00:00,8.36
 01/04  09:00:00,5.589
 01/04  10:00:00,4.808
 01/04  11:00:00,4.463
 01/04  12:00:00,3.995
 01/04  13:00:00,4.243
 01/04  14:00:00,3.884
 01/04  15:00:00,3.896
 01/04  16:00:00,3.953
 01/04  17:00:00,4.477
 01/04  18:00:00,5.599
 01/04  19:00:00,6.197
 01/04  20:00:00,6.143
 01/04  21:00:00,6.254
 01/04  22:00:00,6.716
 01/04  23:00:00,6.844
 01/04  24:00:00,8.897
 01/05  01:00:00,7.06
 01/05  02:00:00,12.89
 01/05  03:00:00,13.65
 01/05  04:00:00,12.44
 01/05  05:00:00,11.87
 01/05  06:00:00,9.734
 01/05  07:00:00,0
 01/05  08:00:00,0
 01/05  09:00:00,4.59
 01/05  10:00:00,4.253
 01/05  11:00:00,3.827
 01/05  12:00:00,3.138
 01/05  13:00:00,3.324
 01/05  14:00:00,3.113
 01/05  15:00:00,3.192
 01/05  16:00:00,3.126
 01/05  17:00:00,3.696
 01/05  18:00:00,5.021
 01/05  19:00:00,7.221
 01/05  20:00:00,7.03
 01/05  21:00:00,7.169
 01/05  22:00:00,7.568
 01/05  23:00:00,8.151
 01/05  24:00:00,9.918
 01/06  01:00:00,7.113
 01/06  02:00:00,13.33
 01/06  03:00:00,13.19
 01/06  04:00:00,13.01
 01/06  05:00:00,13.18
 01/06  06:00:00,9.059
 01/06  07:00:00,0
