Time,TFO,Dupere,Overdale,Hochelaga,Anjou,THERMAL
 01/01  01:00:00,0,293.4340353,144.7576979,109.3682646,106.5556306,2478
 01/01  02:00:00,0,288.951212,140.8286167,102.1887573,100.2129037,2140
 01/01  03:00:00,0,280.8580593,141.6557401,106.5811839,99.85445226,2646
 01/01  04:00:00,0,278.8237604,139.6554667,101.8802121,97.26139151,2513
 01/01  05:00:00,0,283.7263958,144.8835997,115.9831275,102.9800748,2939
 01/01  06:00:00,0,299.7083317,159.338061,148.8899301,122.3382945,2655
 01/01  07:00:00,0,348.2889499,190.2137863,172.802426,148.9029347,3044
 01/01  08:00:00,0,388.0337217,197.7764002,182.2125959,164.5247214,2962
 01/01  09:00:00,0,487.2545826,201.573953,196.7833473,169.1908753,3073
 01/01  10:00:00,0,471.9135052,208.3607469,210.8923661,181.6374139,2507
 01/01  11:00:00,0,460.4950597,225.5047642,237.0601342,205.9935305,2279
 01/01  12:00:00,0,467.7385404,234.7000379,259.8892492,223.4851655,1924
 01/01  13:00:00,0,468.5146083,232.7422093,241.780523,215.2593272,2128
 01/01  14:00:00,0,458.0511792,228.3957254,232.3397454,209.1120413,1965
 01/01  15:00:00,0,455.092936,225.1116649,222.9328886,204.8928923,2080
 01/01  16:00:00,0,457.9086292,226.9453082,223.080546,208.4370562,1963
 01/01  17:00:00,0,401.949483,240.9102953,239.5621877,231.4384805,2265
 01/01  18:00:00,0,417.8274116,243.8742662,240.0555433,242.901879,2242
 01/01  19:00:00,0,434.4357328,212.5809268,215.25393,219.3333218,2243
 01/01  20:00:00,0,431.3936156,200.0354948,205.8131525,208.1217524,2061
 01/01  21:00:00,0,441.243679,195.2435747,196.3723749,201.0260067,2195
 01/01  22:00:00,0,424.2791581,188.9736232,186.9315974,189.8093132,1958
 01/01  23:00:00,0,372.0527327,166.999991,142.724691,156.9612371,2085
 01/01  24:00:00,0,327.6732012,154.1011047,119.623295,129.3826428,1984
 01/02  01:00:00,0,307.2172088,177.3760258,131.5782483,120.0669285,2248
 01/02  02:00:00,0,299.234458,173.7590151,125.3006723,114.0362722,1804
