Date/Time,PV,wind_speed,rho
01/01/2017 00:00,0,6.719,1.293
01/01/2017 01:00,0,6.784,1.287
01/01/2017 02:00,0,6.93,1.282
01/01/2017 03:00,0,7.255,1.278
01/01/2017 04:00,0,7.585,1.274
01/01/2017 05:00,0,8.058,1.271
01/01/2017 06:00,0,8.877,1.269
01/01/2017 07:00,0,8.951,1.268
01/01/2017 08:00,0,9.473,1.268
01/01/2017 09:00,0,9.591,1.271
01/01/2017 10:00,0,9.1,1.276
01/01/2017 11:00,0,9.475,1.283
01/01/2017 12:00,0,10.244,1.29
01/01/2017 13:00,0.077,9.889,1.298
01/01/2017 14:00,0.178,9.765,1.307
01/01/2017 15:00,0.36,9.122,1.315
01/01/2017 16:00,0.597,8.485,1.32
01/01/2017 17:00,0.669,7.833,1.321
01/01/2017 18:00,0.591,6.97,1.321
01/01/2017 19:00,0.391,5.689,1.321
01/01/2017 20:00,0.127,5.003,1.32
01/01/2017 21:00,0,4.141,1.321
01/01/2017 22:00,0,3.299,1.322
01/01/2017 23:00,0,3.876,1.323
02/01/2017 00:00,0,4.696,1.324
02/01/2017 01:00,0,5.285,1.325
02/01/2017 02:00,0,5.467,1.325
02/01/2017 03:00,0,5.448,1.324
02/01/2017 04:00,0,5.521,1.324
02/01/2017 05:00,0,5.165,1.326
02/01/2017 06:00,0,4.465,1.329
02/01/2017 07:00,0,3.836,1.332
02/01/2017 08:00,0,3.715,1.336
02/01/2017 09:00,0,3.464,1.34
02/01/2017 10:00,0,2.913,1.343
02/01/2017 11:00,0,2.333,1.347
02/01/2017 12:00,0,2.428,1.351
02/01/2017 13:00,0.059,3.03,1.352
02/01/2017 14:00,0.187,3.562,1.351
02/01/2017 15:00,0.368,3.18,1.346
02/01/2017 16:00,0.54,2.905,1.339
02/01/2017 17:00,0.589,3.188,1.331
02/01/2017 18:00,0.556,3.723,1.325
02/01/2017 19:00,0.415,4.379,1.322
02/01/2017 20:00,0.161,5.625,1.323
02/01/2017 21:00,0,7.033,1.324
02/01/2017 22:00,0,7.563,1.326
02/01/2017 23:00,0,7.555,1.327
03/01/2017 00:00,0,7.348,1.327
03/01/2017 01:00,0,6.979,1.326
03/01/2017 02:00,0,6.878,1.326
03/01/2017 03:00,0,6.909,1.329
03/01/2017 04:00,0,7.289,1.333
03/01/2017 05:00,0,7.184,1.337
03/01/2017 06:00,0,6.607,1.34
03/01/2017 07:00,0,6.427,1.342
03/01/2017 08:00,0,6.177,1.34
03/01/2017 09:00,0,6.545,1.338
03/01/2017 10:00,0,6.978,1.335
03/01/2017 11:00,0,7.044,1.329
03/01/2017 12:00,0,7.39,1.324
03/01/2017 13:00,0.007,7.407,1.318
03/01/2017 14:00,0.03,7.426,1.309
03/01/2017 15:00,0.058,7.345,1.303
03/01/2017 16:00,0.076,7.099,1.299
03/01/2017 17:00,0.081,7.063,1.296
03/01/2017 18:00,0.062,7.111,1.293
03/01/2017 19:00,0.03,7.312,1.29
03/01/2017 20:00,0.005,7.612,1.287
03/01/2017 21:00,0,7.802,1.286
03/01/2017 22:00,0,7.915,1.284
03/01/2017 23:00,0,7.934,1.282
04/01/2017 00:00,0,7.827,1.28
04/01/2017 01:00,0,7.643,1.278
04/01/2017 02:00,0,7.599,1.276
04/01/2017 03:00,0,7.634,1.274
04/01/2017 04:00,0,7.584,1.274
04/01/2017 05:00,0,7.549,1.275
04/01/2017 06:00,0,7.554,1.276
04/01/2017 07:00,0,7.242,1.277
04/01/2017 08:00,0,6.676,1.278
04/01/2017 09:00,0,6.027,1.279
04/01/2017 10:00,0,5.222,1.279
04/01/2017 11:00,0,4.576,1.279
04/01/2017 12:00,0,3.989,1.278
04/01/2017 13:00,0.049,3.529,1.277
04/01/2017 14:00,0.126,3.773,1.273
04/01/2017 15:00,0.162,6.161,1.265
04/01/2017 16:00,0.185,7.528,1.257
04/01/2017 17:00,0.228,9.281,1.251
04/01/2017 18:00,0.289,10.409,1.248
04/01/2017 19:00,0.242,11.271,1.248
04/01/2017 20:00,0.068,12.222,1.249
04/01/2017 21:00,0,13.065,1.251
04/01/2017 22:00,0,14.227,1.255
04/01/2017 23:00,0,15.234,1.259
05/01/2017 00:00,0,15.055,1.266
05/01/2017 01:00,0,14.268,1.277
05/01/2017 02:00,0,13.686,1.283
05/01/2017 03:00,0,13.296,1.289
05/01/2017 04:00,0,13.003,1.294
05/01/2017 05:00,0,12.821,1.298
05/01/2017 06:00,0,12.929,1.301
05/01/2017 07:00,0,13.089,1.302
05/01/2017 08:00,0,13.065,1.302
05/01/2017 09:00,0,13.96,1.303
05/01/2017 10:00,0,14.12,1.31
05/01/2017 11:00,0,13.582,1.321
05/01/2017 12:00,0,12.879,1.328
05/01/2017 13:00,0.088,12.262,1.332
05/01/2017 14:00,0.251,11.828,1.334
05/01/2017 15:00,0.442,11.403,1.334
05/01/2017 16:00,0.538,10.561,1.332
05/01/2017 17:00,0.559,9.662,1.33
05/01/2017 18:00,0.431,8.79,1.33
05/01/2017 19:00,0.246,7.593,1.331
05/01/2017 20:00,0.049,6.591,1.332
05/01/2017 21:00,0,6.469,1.333
