time,PV,wind_speed,rho
01/01/2019 00:00,0,7.184,1.292
01/01/2019 01:00,0,8.016,1.289
01/01/2019 02:00,0,7.057,1.286
01/01/2019 03:00,0,8.806,1.28
01/01/2019 04:00,0,9.568,1.274
01/01/2019 05:00,0,10.991,1.269
01/01/2019 06:00,0,11.839,1.264
01/01/2019 07:00,0,10.832,1.261
01/01/2019 08:00,0,8.34,1.255
01/01/2019 09:00,0,4.443,1.253
01/01/2019 10:00,0,3.508,1.255
01/01/2019 11:00,0,5.437,1.258
01/01/2019 12:00,0,8.628,1.265
01/01/2019 13:00,0.13,9.774,1.275
01/01/2019 14:00,0.409,11.213,1.285
01/01/2019 15:00,0.569,11.953,1.289
01/01/2019 16:00,0.654,11.654,1.292
01/01/2019 17:00,0.66,11.138,1.297
01/01/2019 18:00,0.597,10.352,1.304
01/01/2019 19:00,0.457,9.762,1.312
01/01/2019 20:00,0.202,9.465,1.321
01/01/2019 21:00,0,9.408,1.333
01/01/2019 22:00,0,9.18,1.346
01/01/2019 23:00,0,8.552,1.357
02/01/2019 00:00,0,7.635,1.366
02/01/2019 01:00,0,6.715,1.374
02/01/2019 02:00,0,5.814,1.38
02/01/2019 03:00,0,5.447,1.386
02/01/2019 04:00,0,5.324,1.391
02/01/2019 05:00,0,4.88,1.396
02/01/2019 06:00,0,4.742,1.4
02/01/2019 07:00,0,4.568,1.403
02/01/2019 08:00,0,4.361,1.406
02/01/2019 09:00,0,3.963,1.408
02/01/2019 10:00,0,3.494,1.41
02/01/2019 11:00,0,3.305,1.411
02/01/2019 12:00,0.005,3.191,1.412
02/01/2019 13:00,0.332,2.686,1.412
02/01/2019 14:00,0.589,2.123,1.409
02/01/2019 15:00,0.736,1.175,1.403
02/01/2019 16:00,0.797,1.487,1.395
02/01/2019 17:00,0.782,1.692,1.389
02/01/2019 18:00,0.692,1.474,1.384
02/01/2019 19:00,0.517,0.08,1.381
02/01/2019 20:00,0.234,0.328,1.38
02/01/2019 21:00,0,2.274,1.379
02/01/2019 22:00,0,4.319,1.378
02/01/2019 23:00,0,5.641,1.378
03/01/2019 00:00,0,6.426,1.379
03/01/2019 01:00,0,6.804,1.38
03/01/2019 02:00,0,6.903,1.38
03/01/2019 03:00,0,6.815,1.378
03/01/2019 04:00,0,6.597,1.372
03/01/2019 05:00,0,6.612,1.364
03/01/2019 06:00,0,6.513,1.357
03/01/2019 07:00,0,6.539,1.353
03/01/2019 08:00,0,6.367,1.351
03/01/2019 09:00,0,6.132,1.351
03/01/2019 10:00,0,5.754,1.351
03/01/2019 11:00,0,5.033,1.351
03/01/2019 12:00,0,4.237,1.352
03/01/2019 13:00,0.085,3.746,1.353
03/01/2019 14:00,0.261,3.272,1.353
03/01/2019 15:00,0.362,3.165,1.348
03/01/2019 16:00,0.434,3.911,1.34
03/01/2019 17:00,0.462,3.765,1.333
03/01/2019 18:00,0.386,4.042,1.327
03/01/2019 19:00,0.151,4.337,1.323
03/01/2019 20:00,0.022,4.676,1.321
03/01/2019 21:00,0,5.391,1.321
03/01/2019 22:00,0,5.845,1.321
03/01/2019 23:00,0,5.227,1.32
04/01/2019 00:00,0,4.551,1.318
04/01/2019 01:00,0,5.211,1.313
04/01/2019 02:00,0,6.915,1.307
04/01/2019 03:00,0,8.197,1.302
04/01/2019 04:00,0,9.171,1.298
04/01/2019 05:00,0,9.638,1.297
04/01/2019 06:00,0,9.159,1.296
04/01/2019 07:00,0,8.684,1.294
04/01/2019 08:00,0,8.719,1.29
04/01/2019 09:00,0,9.505,1.286
04/01/2019 10:00,0,9.813,1.282
04/01/2019 11:00,0,10.26,1.279
04/01/2019 12:00,0,10.944,1.277
04/01/2019 13:00,0.092,10.533,1.277
04/01/2019 14:00,0.141,9.699,1.275
04/01/2019 15:00,0.298,9.413,1.272
04/01/2019 16:00,0.305,9.548,1.271
04/01/2019 17:00,0.273,9.849,1.269
04/01/2019 18:00,0.203,9.866,1.268
04/01/2019 19:00,0.123,9.583,1.268
04/01/2019 20:00,0.043,9.052,1.268
04/01/2019 21:00,0,8.283,1.268
04/01/2019 22:00,0,8.53,1.268
04/01/2019 23:00,0,8.515,1.268
05/01/2019 00:00,0,8.213,1.269
05/01/2019 01:00,0,7.573,1.27
05/01/2019 02:00,0,6.834,1.27
05/01/2019 03:00,0,6.098,1.27
05/01/2019 04:00,0,5.155,1.271
05/01/2019 05:00,0,4.133,1.271
05/01/2019 06:00,0,3.614,1.272
05/01/2019 07:00,0,3.031,1.272
05/01/2019 08:00,0,1.912,1.272
05/01/2019 09:00,0,1.205,1.273
05/01/2019 10:00,0,2.077,1.275
05/01/2019 11:00,0,2.843,1.277
05/01/2019 12:00,0,3.357,1.28
05/01/2019 13:00,0.041,3.749,1.282
05/01/2019 14:00,0.105,4.173,1.283
05/01/2019 15:00,0.158,3.509,1.282
05/01/2019 16:00,0.226,3.135,1.279
05/01/2019 17:00,0.231,3.356,1.276
05/01/2019 18:00,0.199,3.712,1.274
05/01/2019 19:00,0.148,3.876,1.273
05/01/2019 20:00,0.059,3.656,1.273
05/01/2019 21:00,0,3.58,1.274
05/01/2019 22:00,0,3.604,1.274
05/01/2019 23:00,0,3.556,1.276
06/01/2019 00:00,0,3.546,1.279
06/01/2019 01:00,0,3.503,1.281
06/01/2019 02:00,0,3.81,1.282
06/01/2019 03:00,0,4.65,1.283
06/01/2019 04:00,0,5.031,1.283
06/01/2019 05:00,0,4.914,1.282
06/01/2019 06:00,0,4.946,1.283
06/01/2019 07:00,0,5.299,1.283
06/01/2019 08:00,0,6.033,1.285
06/01/2019 09:00,0,6.58,1.287
06/01/2019 10:00,0,6.942,1.29
06/01/2019 11:00,0,7.567,1.293
06/01/2019 12:00,0,8.437,1.297
06/01/2019 13:00,0.058,9.054,1.301
06/01/2019 14:00,0.382,9.439,1.304
06/01/2019 15:00,0.593,10.76,1.307
06/01/2019 16:00,0.696,10.825,1.312
06/01/2019 17:00,0.718,10.736,1.317
06/01/2019 18:00,0.649,10.823,1.324
06/01/2019 19:00,0.479,10.704,1.33
06/01/2019 20:00,0.214,10.449,1.337
06/01/2019 21:00,0,10.303,1.345
06/01/2019 22:00,0,9.995,1.352
06/01/2019 23:00,0,9.973,1.36
07/01/2019 00:00,0,9.781,1.367
07/01/2019 01:00,0,9.503,1.375
07/01/2019 02:00,0,9.494,1.382
07/01/2019 03:00,0,9.39,1.388
07/01/2019 04:00,0,8.773,1.392
07/01/2019 05:00,0,7.689,1.396
07/01/2019 06:00,0,6.678,1.4
07/01/2019 07:00,0,6.043,1.403
07/01/2019 08:00,0,6.057,1.407
07/01/2019 09:00,0,6.227,1.412
07/01/2019 10:00,0,6.178,1.419
07/01/2019 11:00,0,5.841,1.424
07/01/2019 12:00,0.013,5.245,1.427
07/01/2019 13:00,0.263,4.672,1.428
07/01/2019 14:00,0.322,4.196,1.425
07/01/2019 15:00,0.311,2.886,1.421
07/01/2019 16:00,0.251,2.119,1.415
07/01/2019 17:00,0.172,1.968,1.405
07/01/2019 18:00,0.111,0.822,1.402
07/01/2019 19:00,0.063,0.954,1.401
07/01/2019 20:00,0.018,1.78,1.399
07/01/2019 21:00,0,3.948,1.396
07/01/2019 22:00,0,6.53,1.392
07/01/2019 23:00,0,7.727,1.386
08/01/2019 00:00,0,7.817,1.381
08/01/2019 01:00,0,7.758,1.376
08/01/2019 02:00,0,7.711,1.371
08/01/2019 03:00,0,8.321,1.365
08/01/2019 04:00,0,8.503,1.359
08/01/2019 05:00,0,8.771,1.35
08/01/2019 06:00,0,9.51,1.34
08/01/2019 07:00,0,9.27,1.33
08/01/2019 08:00,0,11.366,1.319
08/01/2019 09:00,0,12.211,1.312
08/01/2019 10:00,0,12.879,1.304
08/01/2019 11:00,0,11.892,1.297
08/01/2019 12:00,0,12.008,1.291
08/01/2019 13:00,0.004,11.87,1.285
08/01/2019 14:00,0.019,11.082,1.279
08/01/2019 15:00,0.041,10.014,1.276
08/01/2019 16:00,0.078,9.59,1.273
08/01/2019 17:00,0.117,8.501,1.271
08/01/2019 18:00,0.068,5.927,1.269
08/01/2019 19:00,0.047,4.577,1.27
08/01/2019 20:00,0.014,4.1,1.27
08/01/2019 21:00,0,5.117,1.271
08/01/2019 22:00,0,6.15,1.274
08/01/2019 23:00,0,6.713,1.277
09/01/2019 00:00,0,6.568,1.277
09/01/2019 01:00,0,6.033,1.278
09/01/2019 02:00,0,6.043,1.279
09/01/2019 03:00,0,6.452,1.279
09/01/2019 04:00,0,7.299,1.279
09/01/2019 05:00,0,6.77,1.28
09/01/2019 06:00,0,6.309,1.281
09/01/2019 07:00,0,6.062,1.282
09/01/2019 08:00,0,6.322,1.283
09/01/2019 09:00,0,6.651,1.282
09/01/2019 10:00,0,6.439,1.281
09/01/2019 11:00,0,6.596,1.28
09/01/2019 12:00,0,6.384,1.277
09/01/2019 13:00,0.028,6.664,1.275
09/01/2019 14:00,0.062,7.071,1.274
09/01/2019 15:00,0.089,6.577,1.273
09/01/2019 16:00,0.108,6.651,1.269
09/01/2019 17:00,0.105,7.146,1.266
09/01/2019 18:00,0.075,7.631,1.265
09/01/2019 19:00,0.037,8.142,1.264
09/01/2019 20:00,0.008,8.616,1.264
09/01/2019 21:00,0,8.856,1.265
09/01/2019 22:00,0,9.104,1.266
09/01/2019 23:00,0,9.099,1.267
10/01/2019 00:00,0,9.172,1.269
10/01/2019 01:00,0,9.32,1.271
10/01/2019 02:00,0,9.433,1.274
10/01/2019 03:00,0,9.233,1.277
10/01/2019 04:00,0,9.17,1.28
10/01/2019 05:00,0,9.375,1.281
10/01/2019 06:00,0,9.526,1.283
10/01/2019 07:00,0,9.771,1.284
10/01/2019 08:00,0,10.019,1.285
10/01/2019 09:00,0,9.943,1.286
10/01/2019 10:00,0,9.906,1.288
10/01/2019 11:00,0,10.033,1.29
10/01/2019 12:00,0,10.29,1.293
10/01/2019 13:00,0.042,10.62,1.296
10/01/2019 14:00,0.142,10.704,1.299
10/01/2019 15:00,0.237,11.413,1.302
